team,score,region
Valhalla Quidditch,1500,east
Ottawa Otters,1500,east
University of Guelph Gryphons,1500,east
Carleton Ravens,1500,east
uOttawa Quidditch,1500,east
Queen's Quidditch,1500,east
Valfreyja Quidditch,1500,east
McGill Quidditch,1500,east
UofT Centaurs,1500,east
Waterloo Ridgebacks,1500,east
Royal City Quidditch,1500,east
Canada's Finest Quidditch Club,1500,east
Universite de Montreal,1500,east
UBC Thunderbirds SC,1500,west
Edmonton Aurors Quidditch Club,1500,west
Sabertooths Quidditch Club,1500,west
SFU Quidditch,1500,west
UBC Quidditch Club,1500,west
University of Victoria Valkyries,1500,west
Vancouver Storm Crows Quidditch Club,1500,west